,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.6145,-37.6368,33.96,98,100,14.63,GL,1650565490
1,Albany,42.6001,-73.9662,58.03,44,99,12.95,US,1650565388
2,Tauá,-5.9667,-40.3,83.64,57,100,8.43,BR,1650565927
3,Gravelbourg,49.8834,-106.5512,35.87,57,48,14.63,CA,1650565603
4,Potamiá,40.7163,24.7286,54.64,74,61,2.19,GR,1650565928
5,Cherskiy,68.75,161.3,9.14,99,99,6.24,RU,1650565928
6,Margate,51.3813,1.3862,52.11,78,0,8.99,GB,1650565881
7,Punta Arenas,-53.15,-70.9167,46.51,66,75,20.71,CL,1650565929
8,Lebu,-37.6167,-73.65,54.7,98,100,13.94,CL,1650565929
9,Khovd,48.0056,91.6419,45.5,39,100,10.78,MN,1650565930
10,Rikitea,-23.1203,-134.9692,71.73,90,100,15.5,PF,1650565489
11,Kāzerūn,29.6195,51.6541,72.93,24,100,1.88,IR,1650565930
12,Hobart,-42.8794,147.3294,49.86,78,100,10.36,AU,1650565478
13,Chokurdakh,70.6333,147.9167,-9.0,100,95,1.28,RU,1650565576
14,Saint-Philippe,-21.3585,55.7679,78.39,87,48,10.96,RE,1650565497
15,Turukhansk,65.8167,87.9833,4.98,98,97,5.79,RU,1650565932
16,Atuona,-9.8,-139.0333,79.14,81,15,16.6,PF,1650565502
17,Mataura,-46.1927,168.8643,46.47,98,100,7.45,NZ,1650565480
18,New Norfolk,-42.7826,147.0587,49.5,70,20,1.99,AU,1650565933
19,Saskylakh,71.9167,114.0833,1.85,99,100,4.5,RU,1650565544
20,Evensk,61.95,159.2333,14.45,82,100,10.18,RU,1650565934
21,Monrovia,6.3005,-10.7969,85.77,78,100,10.31,LR,1650565455
22,Ormara,25.2088,64.6357,79.74,82,15,12.15,PK,1650565934
23,Lorengau,-2.0226,147.2712,81.86,76,88,8.88,PG,1650565524
24,St. George's,12.0564,-61.7485,83.88,70,20,25.32,GD,1650565707
25,Voronovytsya,49.1095,28.6808,40.95,96,100,8.59,UA,1650565935
26,Geraldton,-28.7667,114.6,64.81,52,31,9.22,AU,1650565325
27,San Patricio,28.017,-97.5169,86.07,57,72,20.36,US,1650565936
28,Airai,-8.9266,125.4092,59.09,89,86,3.24,TL,1650565548
29,Banda Aceh,5.5577,95.3222,80.58,80,88,1.83,ID,1650565936
30,Merauke,-8.4667,140.3333,80.4,82,71,4.12,ID,1650565586
31,Paide,58.8856,25.5572,43.3,80,0,6.93,EE,1650565937
32,Puerto Ayora,-0.7393,-90.3518,80.56,81,45,9.86,EC,1650565937
33,Nuevo Progreso,23.1667,-97.95,83.53,67,88,5.99,MX,1650565938
34,Hong Kong,22.2855,114.1577,75.38,87,46,5.01,HK,1650565816
35,Hilo,19.7297,-155.09,75.61,76,40,4.61,US,1650565347
36,Pevek,69.7008,170.3133,9.73,95,65,8.63,RU,1650565605
37,Ushuaia,-54.8,-68.3,44.22,87,75,21.85,AR,1650565475
38,Mitsamiouli,-11.3847,43.2844,77.29,94,75,6.91,KM,1650565939
39,Sovetskiy,61.3614,63.5842,15.98,93,13,5.61,RU,1650565939
