,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,56.08,66,93,4.81,ZA,1650765620
1,Port Alfred,-33.5906,26.891,58.17,97,29,3.0,ZA,1650765622
2,Sirte,31.2089,16.5887,60.37,76,0,4.07,LY,1650765622
3,Adrar,20.5022,-10.0711,69.85,31,0,10.96,MR,1650765626
4,Atuona,-9.8,-139.0333,79.5,77,76,16.64,PF,1650765629
5,Grindavik,63.8424,-22.4338,43.27,81,75,2.3,IS,1650765629
6,Rikitea,-23.1203,-134.9692,75.33,77,100,15.55,PF,1650765630
7,Lagoa,39.05,-27.9833,57.49,69,2,24.63,PT,1650765631
8,Mehamn,71.0357,27.8492,38.77,96,100,19.6,NO,1650765631
9,Nikolskoye,59.7035,30.7861,38.71,84,100,9.17,RU,1650765632
10,Wattegama,6.7989,81.4808,77.86,83,41,1.39,LK,1650765632
11,Qaanaaq,77.484,-69.3632,-4.0,77,27,6.51,GL,1650765633
12,Kumul,42.8,93.45,70.7,18,6,11.1,CN,1650765633
13,Nanortalik,60.1432,-45.2371,34.86,99,100,6.67,GL,1650765634
14,Srednekolymsk,67.45,153.6833,20.64,79,100,3.24,RU,1650765635
15,Agadez,19.75,10.25,85.3,11,20,7.83,NE,1650765635
16,Jamestown,42.097,-79.2353,65.17,53,19,1.99,US,1650765423
17,New Norfolk,-42.7826,147.0587,65.91,47,24,0.83,AU,1650765636
18,Busselton,-33.65,115.3333,68.58,51,49,10.56,AU,1650765637
19,Senneterre,48.3835,-77.2328,33.39,77,100,10.22,CA,1650765638
20,Ushuaia,-54.8,-68.3,42.46,75,40,2.3,AR,1650765401
21,Yeppoon,-23.1333,150.7333,74.98,75,71,25.21,AU,1650765639
22,Upernavik,72.7868,-56.1549,1.36,96,74,7.4,GL,1650765639
23,Lundazi,-12.2929,33.1782,60.94,97,99,4.38,ZM,1650765640
24,Saint George,37.1041,-113.5841,65.43,19,20,12.66,US,1650765640
25,East London,-33.0153,27.9116,62.1,90,99,8.23,ZA,1650765569
26,Tasiilaq,65.6145,-37.6368,35.76,89,91,7.52,GL,1650765641
27,Petauke,-14.2426,31.3253,61.95,95,96,5.01,ZM,1650765642
